ID,English,Kashmiri
242,We waited nearly for ages for the match to begin.,اسہِ ووت ییٚمہِ میچہٕ خٲطرٕ واریاہ کال پیاران
244,The illness has aged him?,سُہ چُھ بیٚمارِ بٕڑروومُت
245,Ram seems to have aged very quickly.,مےٚ چُھ باسان زن رام چُھ جلدی بَڑیومُت
247,We are planning to start a travel agency.,أسۍ چھِ اَکھ نٔو ایٚجَنسی کھولنہٕ باپتھ منٛصوٗبہٕ بَناوان
248,He is a real estate agent.,سُہ چُھ زٔمیٖن زِراعت ہٮ۪نہٕ تہٕ کٕنَن وول رُکُن
249,The aggression of empires has lasted since antiquity.,سلطَنَتن ہُنٛد حملہٕ چُھ پَتہٕ وَتہٕ پٮ۪ٹھٕ جٲری
250,His aggressive attitude frightens me.,تٔمۍ سٕنٛدٕ طیشَل برتاو سۭتۍ چھےٚ مےٚ تھرٕ اَژان
251,The Union continues to agitate for higher pay,یوٗنیَنن چُھ تنٛخواہ بَڑاونہٕ خٲطرٕ ہنٛگامہٕ جٲری تھوومُت
253,We will not agree on all their terms and conditions.,أسۍ مانَو نہٕ تِہِنٛدۍ سٲری شرایِط
254,Please sign the agreement.,مہربٲنی کٔرِتھ کٔرِو مُہادس پیٚٹھ دستخط۔
255,The talks between the two groups failed to reach to an agreement.,دۄن دَرٮ۪ن درمِیان کَتھ باتھ أکِس سمجوتَس تان واتنَس منٛز گٔیہِ ناکام
256,The whole family was in agreement with her.,پوٗرٕ خانٛدان اوس تس رٲزۍ۔
258,Indian economy depends on agriculture.,ہِنٛدُستانٕچ معٲشِیت چھےٚ زراعتَس پٮ۪ٹھ دارمَدار
259,You can go ahead of us.,ژٕ ہٮ۪کَکھ اَسہِ برٛونٛہہ کُن پٔکِتھ
260,We can mobilize the aid for flood victims.,أسۍ ہٮ۪کو سٕہلاب زَدن اِمداد واتنٲوِتھ
261,The schools are not equipped with the teaching aids.,مدرَسن منٛز چھِ نہٕ پرناونٕکۍ سامان
263,Her aim is to become a doctor.,تٔمِۍ سُنٛد مقصَد چُھ ڈاکٹر بَنُن
264,She is aiming at a scholarship.,تٔمِس چُھ سُکالرشِپ حٲصِل کرنُک اِرادٕ
265,My remarks were not aimed at you.,میٛانیٚن تبصُرن ہُنٛد اوس نہٕ ژےٚ کُن اِشارٕ۔
266,Kick the football high in the air.,فُٹ بال لَگاوو ہیوٚر ہَوہَس منٛز
267,We went to Mumbai by air.,أسۍ گٔیہِ بمبیہِ ہَوٲیی جَہازس منٛز
268,Air the wet sheet to make it dry.,خۄشٕک کرنہٕ خٲطرٕ دِ اَتھ أدرِس شیٖٹَس ہَوا
269,"Don`t air your views to every Tom,Dick and Harry.",پَنٕنۍ خیال گَژھن نہٕ پرٛٮ۪تھ کٲنٛسہِ نِش باوٕنۍ
270,He owns an aircraft.,تٔمِس چُھ پَنُن ہَوٲیی جَہاز
271,Aslam went to the airport.,اسلَم گوٚو ہَوٲیی اَڈس پٮ۪ٹھ
273,A new international airport has been built in Cochin.,کوچیٖنَس منٛز چُھ اَکھ نوٚو بین الاقوٲمی ہَوٲیی اَڈٕ بَناونہٕ آمُت
274,The news filled me with alarm.,ییٚمہِ خبرِ دِژ مےٚ خطرٕچ خبر دٲری
275,The alarm bell rang in the bank.,بیٚنٛکَس منٛز بجےٚخطرٕچ گنٛٹی
276,Addiction to alcohol is disasterous to health.,شَرابُک عٲدی گَژُھن چُھ صحتہٕ خٲطرٕ مُزِر
277,He is an alert listener in meetings.,سُہ چُھ مجلِسَن منٛز ہُشار بوزَن وول
278,I felt like an alien with the new classmates.,مےٚ چُھ نَوین ہم جمٲتٮ۪ن سۭتۍ پَنُن پان وۄپَر باسان
280,Depressive states of mind cause intense sense of alienation.,ذہنی دَباو آسنٕکۍ حالات چھِ اِنٛسانَس پَرٕژھیوٚن بَناوان
284,She is always alive and active.,سۄ چھےٚ ہَمیشہٕ باخَبر تہٕ تٮ۪لنٛگہٕ روزان
285,He is fully alive to everything happening around.,سُہ چُُھ أنٛدۍ پٔکۍ سپدن وٲلِس پرٛٮ۪تھ کُنہِ چیٖزس وٲقِف۔
287,His work was all mess.,تٔمۍ سٕنٛز سٲرٕے کٲم ٲس خراب
288,We sat up all night.,أسۍ ٲسۍ پوٗرٕ راتس ہُشارَے
289,She lives all alone.,سۄ چھےٚ بِلکُل کُنی زٕنۍ روزان
290,They gave away all of their fortune to the victims.,تِمو دیُت پنُن سورُے مال و دَولت مُتٲثِریٖنن
292,They swear allegiance to the flag.,تِم چھِِ جنٛڈٕچ فرمان بردٲری کران۔
293,The Company entered into an alliance with the Bank.,کپمٔنی تہٕ بینٛکن کوٚر پانہٕ وٲنۍ مُہادٕ
294,USA and allied forces started bombing Yugoslavia.,امریٖکہ تہٕ اِتحٲدی فوجن کٔر یوگوسلاویاہس پٮ۪ٹھ بمبٲری شُروٗع
295,The government shall allocate separate apartments to the employees.,حُکوٗمت کرِ مُلٲزمن خٲطرٕ الگ اپارٹمٮ۪نٛٹ قٲیِم
296,The company has allocated funds for the project.,کمپٔنی چھِ پرٛوجیٚکٹ خٲطرٕ رقم مخصوٗص کوٚرمُت
297,The allocation of funds requires a responsible representative.,مٲلی وصٲیِلن ہِنٛدِ نامزدگی خٲطرٕ چھےٚ أکِس ذِمہ وار نُمٲینٛدٕ سٕنٛز ضٔروٗرت آسان۔
298,The allotment of this plot is made to the medical college.,ییٚمہِ پٔلاٹٕچ نام ذَدی چھےٚ آمٕژ میٚڈکل کالجس دِنہٕ
299,We are allowed to use mobile phones inside the work place.,ییٚٚتہِ أسۍ کٲم چھِ کَران تَتہِ چھےٚ یِوان اسہِ موبایِل فون چلاونٕچ اِجازت دِنہٕ
301,The company paid the travel allowance.,کمپٔنی کوٚر سفرُک خرچہٕ ادا
302,France is an ally of America.,فرٛانٛس چُھ امریٖکہُک حلیٖف
303,Italy and Japan allied with Germany in the second world war.,دٔیمہِ جنٛگہِ عٔظیٖمس منٛز کوٚر اِٹلی تہٕ جاپانن جرمٔنی سۭتۍ سمجوتہٕ
304,Almost everybody passed in the exam.,اِمتِحانس منٛز گٔیہِ لگ بگ سٲری پاس
305,He was alone when we met him.,ییٚلہِ أسۍ تٔمِس سمکھییہِ سُہ اوس تمہِ ساتہٕ کُنُے زوٚن
306,Take your baggage along.,پنُن سامان نیٖو سۭتۍ
307,His little sister came along to see the movie.,فِلِم وٕچھنہٕ خٲطرٕ ٲس تٔمِس بیٚنہِ سۭتۍ آمٕژ
308,We were walking along chatting.,کَتھ کَران کَران ٲسۍ أسۍ پَکان
309,The truck drew up alongside the river bank..,ٹرٛک آیہِ دٔریاب بٔٹِھس سۭتۍ لاینہٕ
310,My house is alongside the cinema hall.,میٛون مَکان چُھ سیٚنما ہالس سۭتۍ
311,Please read the passage aloud.,مہربٲنی کٔرِتھ پٔرِو یہِ حوالہٕ زورٕ
312,Children are taught alphabets in nursery.,بَچن چھِ یِوان نرسٔریَس منٛز اَچھر پرناونہٕ
313,She had already graduated when I joined the college.,میٛانہِ کالج دٲخٕل گھژنہٕ برٛونٛہٕے ٲس تٔمۍ گرٛیجویشن کٔرمٕژ
315,The examination schedule altered our travel plans.,اِمتِحانٕکۍ تٲریٖخو بدلوو سون سفرُک منصوٗبہٕ
316,"He was left with no other alternative,so he resigned.",تٔمِس روٗد نہٕ بیٚیہِ کانٛہہ چارٕ تہٕ تٔمۍ دیُت اِستیٖفہٕ
317,We have to find an alternative means of transport to reach there.,تور واتنہٕ خٲطرٕ پیٚیہِ اَسہِ نقل و حملُک مُتبادلہٕ ذٔریہٕ ژھانڑُن
319,He earns altogether fifty thousand in a month.,سُہ چُھ رٮ۪تَس کُل مِلٲوِتھ پنٛژاہ ساس زینان
320,We talked less and less and eventually stopped talking altogether.,اسہِ کٔر کَتھ کَم کَم کَرٕنۍ تہٕ ٲخٕر ترٛٲو بِل کُلٕے کَتھ کَرٕنۍ
321,Aluminium foils are best to wrap the food in travel.,ایٚلموٗنِیم وَرق چھِ سفرَس منٛز کھیٚن ولنہٕ خٲطرٕ بہتٔریٖن روزان
322,I am always at home on Sundays.,بہٕ چُھس آتھوارن ہمیشہٕ گَری روزان
323,I will always be there to help you.,بہٕ روزَے ژےٚ ہر وِزِ مدد کرنہٕ خٲطرٕ تیار
324,He is an amateur painter.,سُہ چُُھ اَکھ شوقیٖن رنٛگ ساز
325,I was amazed by her comments.,بہٕ گوس تٔمۍ سٕنٛزن کَتھن پٮ۪ٹھ حٲران
326,She gave me an amazing look.,تٔمۍ ترٛٲو مےٚ اَکھ حٲرت اَنٛگیز نظر
328,This attempt shall serve as an ambassador of good will between us.,یہِ کوٗشِش روزِ اسہِ درمِیان اکھ اصٕل نٔتیٖجن ہُنٛد سٔفیٖر
329,He gave an ambiguous remark.,تٔمۍ ؤنۍ ؤلِتھ کتھ۔
330,Her ambition in life is to achieve success.,تٔمۍ سٕنٛزِ زِنٛدگی ہُنٛد مقصد چُھ کامیٲبی حٲصِل کرٕنۍ
331,It is a highly ambitious schedule.,یہِ چُھ اکھ اِتِہٲیی مقصد وول شُڈوٗل
332,The committee has to ammend the rules.,کٔمیٖٹی چھِ قوٲعِد دُرُس کَرٕنۍ
333,The present budget passed without any amendments.,موجوٗدٕ بَجٹ آو اِصلاح بغٲر پاس کَرنہٕ
335,Huge illegal sale of arms and ammunition takes place at the borders.,سرحَدن پٮ۪ٹھ چھِ گولٕہ بوٚروٗد غٲر قونوٗنی طورس پٮ۪ٹھ کٕنٛنہٕ یِوان
336,He picked the best one amongst a pile of old books.,پرٛانیٚن کِتابن ہِنٛدِ چَٹہٕ منٛز تُج تٔمۍ ساروٕے کھۄتہٕ بہتٔریٖن کِتاب
337,The total cost amounted to Rs.250.,کُل لاگت وٲژ زٕ ہَتھ تہٕ پنٛژہ رۄپیہِ
338,They spent large amount of money on thier wedding.,تِمو خرچوو پنٛنِس خانٛدرس پٮ۪ٹھ واریاہ رَقم
339,They didn't deliver the right amount of sand.,تِمو کٔر نہٕ سیٚکہِ ہِنٛز صٔحیٖح مقدار فراہم۔
340,The election was given ample coverage on T.V.,ایٚلیکشَنس آیہِ ٹیٖویَس پٮ۪ٹھ واریاہ اہمِیت دِنہٕ
341,The magician amused children.,جادوٗ گَرن کوٚر شُریٚن ہُنٛد دِل خۄش
344,They have analysed the market strategy properly.,تِمو چھےٚ بازرٕچہِ حکمت عملی ہِنٛز وٮ۪ژھنَے اصٕل پٲٹھۍ کٔرمٕژ
345,Psychologist analysed the cause of depression.,مٲہِرِ نفاسیاتن کٔر ذہنی دباو کہِ وجہٕچ وٮ۪ژھنَے
346,I was more interested in her analysis of the case study.,مےٚ ٲس تٕمۍ سٕنٛزِ کیس سٕٹَڑی ہِنٛزِ تجزِیہِ منٛز زیادٕ دِلچسپی
347,She has an analytic approach.,تٔمِس چُھ تجزِیٲتی نظریہٕ
348,The failure of government to implement control can lead to anarchy.,سرکار کہِ طرفہٕ کنٛٹرٛول نٲفِز کرنَس منٛز ناکٲمی ہیٚکہِ اَفراتَفری ہُنٛد بٲعِث بٔنِتھ
349,We raised the anchor and set sail.,اسہِ تُل کُنٛڑٕ تہٕ درٛایہِ ٲبی سفرس۔
350,The boat was anchored to the shore.,ناو ٲس بٔٹِھس پیٚٹھ گٔنٛڑِتھ۔
351,She anchored a television documentary series in 1980.,تٔمۍ کوٚر 1980 ہس منٛز ٹی وی یس پیٚٹھ دستاویزی سِلسٕلہٕ وار پیش۔
352,She has been working as an anchor for the last five years.,سۄ چھےٚ پٔتِمیو پانٛژو ؤرِیو پیٚٹھٕ بطورِ رٲبِطہٕ کار کٲم کران۔
353,India and China are the most ancient civilizations of the world.,ہِنٛدُستان تہٕ چیٖن چھِ دُنیاہٕکۍ قٔدیٖم تٔریٖن تہزیٖبہٕ
354,She could sense my anger.,تٔمۍ کوٚر محسوٗس زِ مےٚ چُھ شَرارت
355,He angered everyone in the family by talking rudely to his brother.,تٔمۍ کٔر پنٛنِس بٲیِس سۭتۍ بد تہزیٖبی سان کَتھ ییٚمہِ کِنۍ سٲرسی عیالس شَرارت کھوٚت
356,We can look at this problem from a different angle.,أسۍ ہٮ۪کو یَتھ مسلس بیٚیہِ کُنہِ نطریہِ سۭتۍ وٕچھِتھ
357,He was adept at angling the fishing rod.,سُہ اوس بِسلاے ترٛاونَس منٛز مٲہِر
359,He is an angry man.,سُہ چُھ اَکھ شَرٲرتی نَفر
360,We should be kind to animals.,اسہِ پَزِ جانوَرن سۭتۍ رٔحیٖم روزُن
361,he behaves like an animal with his wife.,سُہ چُُھ پنٛنہِ زَنانہِ سۭتۍ وحشِیانہٕ سٔلوٗک کَران
363,She announced her engagemnet on new year party.,نٔوِس ؤریٕکِس جشنس پٮ۪ٹھ کوٚر تٔمۍ پنٛنہِ نِشانہِ ہُنٛد اعلان
364,She made an announcement about the withdrawl of her support to the institute.,تٔمۍ کوٚر اِدارٕ خٲطرٕ پنٕنۍ حمایت واپس نِنُک اعلان۔
365,Akbar annoyed me in the meeting.,اکبَرن کٔرنَس بہٕ میٖٹِنٛگ منٛز پَریشان
366,I was annoyed when they abused me.,مےٚ کھوٚت شَرارت ییٚلہِ مےٚ تِمو لٮ۪کہٕ کَجہِ
367,I understand your reason of annoyance.,بہٕ چُھس تُہنٛزِ ناراضگی ہُنٛد وجہ سمجان
369,You can pay the bill annually as well.,تُہۍ ہیٚکِو ؤریہِ پتہٕ ؤریہِ تہِ بِل بٔرِتھ
370,There was a phone call from an anonymous person.,أکِس گُمنام شخصہٕ سُنٛد فون اوس آمُت
371,Give me another cup af tea.,مےٚ دِ بیٛاکھ چایہِ کَپ
373,She didn`t answer to my question.,تٔمۍ دیُت نہٕ میٛانہٕ سَوالُک جواب
375,Ants have large and highly organized groups.,ریٚیَن چھِ آسان بٔڑۍ تہٕ اِنٛتِہٲیی مُنظِم گرٛوٚپ
376,He could anticipate the trouble.,تٔمۍ ہیٚوکھ پَریشٲنی ہُنٛد انٛدازٕ لگٲوِتھ
378,This explains his anxiety over the examination.,امہِ سۭتۍ چھےٚ وضاحت گَژھان زِ تٔمِس چھےٚ اِمتِحانٕچ پَریشٲنی
381,He is an anxious father.,سُہ چُُھ اَکھ فِکِر منٛد مول
382,We had a few anxious moments before the plane landed safely.,جہازٕک باحِفاظت لینٛڈ کرنہٕ برٛونٛہہ آیہِ اَسہِ کیٚنٛہہ تشویٖش ناک لمحات پیش
383,They are anxious to know about the next President.,نٔوِس صدرَس مُتعلق زانٛنہٕ خٲطرٕ چھِ تِم بےٚ تاب
384,Has she left any cake in the refrigerator?,تٔمۍ چھا فرٛجَس منٛز کانٛہہ کیک تھوومُت؟
385,Are you feeling any better?,تُہۍ چِھوٕ کیٚنٛہہ بہتر محسوٗس کَران؟
387,Is there any water in the jug?,جَگس منٛز چھا کیٚنٛہہ ترٛیش؟
388,Anybody can come to party.,کانٛہہ تہِ ہیٚکہِ سالس یِتھ
389,I can`t lend my book to anybody.,بہٕ ہٮ۪کہٕ نہٕ پَنٕنۍ کِتاب کٲنٛسہِ تہِ دِتھ
390,Anyhow they managed to escape the police.,تِمۍ گٔیِیہٕ کُنِہ پٲٹھۍ پُلسَس نِش فَرار گَژھنَس منٛز کامیاب
391,Anyone of you can go and get the tickets.,تۄہہِ منٛز ہیٚکہِ کانٛہہ اَکھ ٹِکَٹ انٛنہِ گٔژِھتھ
392,Give me anything to eat.,مےٚ دیٖو کھٮ۪نہٕ خٲطرٕ کیٚنٛہہ تہِ
394,You can solve this problem in anyway.,تُہۍ ہیٚکِو یہِ مسلہٕ کُنِہ تہِ پٲٹھۍ ہَل کٔرِتھ
395,You can find this food anywhere.,تۄہہِ ہیٚکٮ۪و یہِ کھٮ۪ن کُنہِ تہِ جایہِ میٖلِتھ
398,We live in a three room apartment.,اسہِ چھےٚ ترٛٮ۪ن کَمرَن ہِنٛز روزَن جاے
401,There was no apparent reason for his screaming.,تٔمۍ سٕنٛدِس کرٛٮ۪کھ لاگنس اوس نہٕ کانٛہہ ظٲہِری وجہ
